LawID,LegislatorID,LegislatorName,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerType1,TerType2,TerReligion,TerPublished,TerEditor,Date,Year,Form,Canton,Canton_rec,Scope_clean2,Scope_clean3,Scope_clean4,Scope_clean5,Scope_clean6,Scope_clean7,Scope_clean8,Scope_clean9,Scope_clean10,Scope_clean11,Scope_clean12,Scope_clean13,Archive,StAB,Archive_folder,Pages,Title,Matters_level2_num01,Matters_level2_01,Matters_level3_01,Matters_level4_01,Matters_01_addinfo,Matters_level2_num02,Matters_level2_02,Matters_level3_02,Matters_level4_02,Matters_02_addinfo,Matters_level2_num03,Matters_level2_03,Matters_level3_03,Matters_level4_03,Matters_03_addinfo,Matters_level2_num04,Matters_level2_04,Matters_level3_04,Matters_level4_04,Matters_04_addinfo,Matters_level2_num05,Matters_level2_05,Matters_level3_05,Matters55,Matters_level4_05,Matters_level2_num06,Matters_level2_06,Matters_level3_06,Matters_level4_06,Matters_06_addinfo,Matters_level2_num07,Matters_level2_07,Matters_level3_07,Matters_level4_07,Matters_07_addinfo,Matters_level2_num08,Matters_level2_08,Matters_level3_08,Matters_level4_08,Matters_08_addinfo,Matters_level2_num09,Matters_level2_09,Matters_level3_09,Matters_level4_09,Matters_09_addinfo,Matters_level2_num10,Matters_level2_10,Matters_level3_10,Matters_level4_10,Matters_10_addinfo,Matters_level2_num11,Matters_level2_11,Matters_level3_11,Matters_level4_11,Matters_level2_num12,Matters_level2_12,Matters_level3_12,Matters_level4_12,Matters_level2_num13,Matters_level2_13,Matters_level3_13,Matters_level4_13,Matters_level2_num14,Matters_level2_14,Matters_level3_14,Matters_level4_14,Matters_14_addinfo,Matters_level2_num15,Matters_level2_15,Matters_level3_15,Matters_level4_15,Matters_level2_num16,Matters_level2_16,Matters_level3_16,Matters_level4_16,Matters_level2_num17,Matters_level2_17,Matters_level3_17,Matters_level4_17,Matters_17_addinfo,Matters_level2_num18,Matters_level2_18,Matters_level3_18,Matters_level4_18,Matters_18_addinfo,Matters_level2_num19,Matters_level2_19,Matters_level3_19,Matters_level4_19,Matters_level2_num20,Matters_level2_20,Matters_level3_20,Matters_level4_20,Matters_level2_num21,Matters_level2_21,Matters_level3_21,Matters_level4_21,Matters_level2_num22,Matters_level2_22,Matters_level3_22,Matters_level4_22,Matters_22_addinfo,Matters_level2_num23,Matters_level2_23,Matters_level3_23,Matters_level4_23,Matters_23_addinfo,Matters_level2_num24,Matters_level2_24,Matters_level3_24,Matters_level4_24,Matters_24_addinfo,Matters_level2_num25,Matters_level2_25,Matters_level3_25,Matters_level4_25,Matters_level2_num26,Matters_level2_26,Matters_level3_26,Matters_level4_26
BER.01.001.0075,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm, ,1566,Verordnung,Canton of Aargau,Controlled by Bern,Canton Aargau, , , , , , , , , , , ,"StAB, A I 480, S. 5 f.",StAB,A I 480,S. 5 f.,Verpott der Kilchwychinen.,1.1,Religionsangelegenheiten,Sonntagsheiligung,",KrÃ¤mer", ,1.3,Randgruppen,Fahrende Leute,",Landstreicher", ,1.4,Aufwand und Luxus,Aufwand/Luxus,",Hochzeit", ,1.5,Sittlichkeit; Ehe- und Familie; SexualitÃ¤t,Uneheliche Schwangerschaft/Kinder, , ,1.5, , , , ,2.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.0366,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,10/28/1602,1602,Verordnung,Canton of Bern,Canton of Bern,Signau, , , , , , , , , , , ,"StAB, A I 481, S. 78",StAB,A I 481,S. 78,Der Thoufferen unnd deren halben so vor Empfachung des Herren Nachtmals sich in die WirtshÃ¼ser verfÃ¼gen.,1.1,Religionsangelegenheiten,Kirchenzucht,",Entweihung Sakramente", ,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",TÃ¤ufer", ,4.6,Handel und Dienstleistungen,Bewirtung/GaststÃ¤tten,",Alkoholausschank", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.0392,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,8/7/1604,1604,Verordnung,Canton of Bern,Canton of Bern,Bolligen,Bremgarten bei Bern,BÃ¼mpliz,KÃ¶niz,Muri, , , , , , , ,"StAB, A I 481, S. 118",StAB,A I 481,S. 118,Den Predikanten.,1.1,Religionsangelegenheiten,Geistlichkeit,",AmtsfÃ¼hrung", ,1.5,Sittlichkeit; Ehe- und Familie; SexualitÃ¤t,EheschlieÃŸung,",Bedingungen", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.4933,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,11/15/1615,1615,Verordnung,Canton of Fribourg,Controlled by Bern,Murten, , , , , , , , , , , ,"StAB, A I 482, S. 356",StAB,A I 482,S. 356,Wegen Abstellung der Ã¼berflÃ¼ssigen GevÃ¤terten.,1.1,Religionsangelegenheiten,Geistlichkeit,",AmtsausÃ¼bung; Taufe; Patenschaft", ,1.1,Religionsangelegenheiten,Kirchenzucht,",AmtsausÃ¼bung; Taufe; Patenschaft", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.0753,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,6/30/1624,1624,Verordnung,Canton of Bern,Canton of Bern,Emmental,Bernese Oberland,Seftigen,Konolfingen,Limpach,Canton Aargau, , , , , , ,"StAB, A I 483, S. 150 f.",StAB,A I 483,S. 150 f.,Wegen der ToÃ¼fferen.,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",TÃ¤ufer", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.0968,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,11/16/1635,1635,Verordnung,Canton of Bern,Canton of Bern,Aarwangen,Oberbipp,Aarburg,Trachselwald,Sumiswald,Wangen, , , , , , ,"StAB, A I 484, fol. 81r",StAB,A I 484,fol. 81r,Wegen Anstellung unnd Administration dess Herrn Nachtmals uff den Palmtag.,1.1,Religionsangelegenheiten,Geistlichkeit,",Gottesdienstgang; AmtsausÃ¼bung", ,1.1,Religionsangelegenheiten,Sonntagsheiligung,",Gottesdienstgang; AmtsausÃ¼bung", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.4840,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,4/24/1643,1643,Verordnung,Canton of Bern,Canton of Bern,Seedorf,Krauchthal,Windisch,Interlaken, , , , , , , , ,"StAB, A I 484, fol. 336v-337r",StAB,A I 484,fol. 336v-337r,Abstellung der StÃ¶hren.,1.1,Religionsangelegenheiten,Kirchenorganisation,",Rechnungswesen; Kosten; StÃ¶r", ,1.1,Religionsangelegenheiten,Klosterwesen/Orden,",Rechnungswesen; Kosten; StÃ¶r", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1301,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,6/7/1644,1644,Ordnung,Canton of Bern (invaded),Controlled by Bern,Laupen,Aarberg,Seedorf,MÃ¼nchenbuchsee,Fraubrunnen,Krauchthal, , , , , , ,"StAB, A I 485, S. 22 f.",StAB,A I 485,S. 22 f.,"Abstellung 1. underschidenlicher MissbrÃ¼chen, 2. alten Ysenkauffs.",1.1,Religionsangelegenheiten,Sonntagsheiligung,",VergnÃ¼gungen; Zunftversammlung; Spielen; Nachhochzeit; Mahlzeiten", ,4.5,Handwerk und Gewerbe,HandwerksmiÃŸstÃ¤nde,",Eisenverarbeitung", ,4.5,Handwerk und Gewerbe,Zunftwesen,",Eisenverarbeitung", ,4.6,Handel und Dienstleistungen,Handelsbedingungen, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1308,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,10/26/1644,1644,Verordnung,Canton of Bern,Canton of Bern,Trachselwald,Signau,LÃ¼tzelflÃ¼h,Lenzburg, , , , , , , , ,"StAB, A I 485, S. 41 f.",StAB,A I 485,S. 41 f.,Ihnen die Execution dess jÃ¼ngsten TeÃ¼ffer-Mandats anbevelchen.,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",TÃ¤ufer", ,2.4,Policey der Verwaltung und Justiz,AmtsfÃ¼hrung/AmtsmiÃŸbrauch,",Amtleute; Aufgaben; Pflichten; Aufsichtspflicht", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1319,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,2/14/1645,1645,Verordnung,Canton of Bern,Canton of Bern,Orpund,ChÃ©serex, , , , , , , , , , ,"StAB, A I 485, S. 62",StAB,A I 485,S. 62,Wegen Haltung eines algemeinen Fast- und BÃ¤ttags.,1.1,Religionsangelegenheiten,Feiertage/ReligiÃ¶se Feste,",BuÃŸ- & Bettag; Fastenzeit; Gute Werke", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
