LawID,LegislatorID,LegislatorName,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerType1,TerType2,TerReligion,TerPublished,TerEditor,Date,Form,Scope_clean 2,Scope_clean 3,Scope_clean 4,Scope_clean 5,Scope_clean 6,Scope_clean 7,Scope_clean 8,Scope_clean 9,Scope_clean 10,Scope_clean 11,Scope_clean 12,Scope_clean 13,Archive,StAB,Archive_folder,Pages,Title,Matters_level2_num01,Matters_level2_01,Matters_level3_01,Matters_level4_01,Matters_01_addinfo,Matters_level2_num02,Matters_level2_02,Matters_level3_02,Matters_level4_02,Matters_02_addinfo,Matters_level2_num03,Matters_level2_03,Matters_level3_03,Matters_level4_03,Matters_03_addinfo,Matters_level2_num04,Matters_level2_04,Matters_level3_04,Matters_level4_04,Matters_04_addinfo,Matters_level2_num05,Matters_level2_05,Matters_level3_05,Matters 5 5,Matters_level4_05,Matters_level2_num06,Matters_level2_06,Matters_level3_06,Matters_level4_06,Matters_06_addinfo,Matters_level2_num07,Matters_level2_07,Matters_level3_07,Matters_level4_07,Matters_07_addinfo,Matters_level2_num08,Matters_level2_08,Matters_level3_08,Matters_level4_08,Matters_08_addinfo,Matters_level2_num09,Matters_level2_09,Matters_level3_09,Matters_level4_09,Matters_09_addinfo,Matters_level2_num10,Matters_level2_10,Matters_level3_10,Matters_level4_10,Matters_10_addinfo,Matters_level2_num11,Matters_level2_11,Matters_level3_11,Matters_level4_11,Matters_level2_num12,Matters_level2_12,Matters_level3_12,Matters_level4_12,Matters_level2_num13,Matters_level2_13,Matters_level3_13,Matters_level4_13,Matters_level2_num14,Matters_level2_14,Matters_level3_14,Matters_level4_14,Matters_14_addinfo,Matters_level2_num15,Matters_level2_15,Matters_level3_15,Matters_level4_15,Matters_level2_num16,Matters_level2_16,Matters_level3_16,Matters_level4_16,Matters_level2_num17,Matters_level2_17,Matters_level3_17,Matters_level4_17,Matters_17_addinfo,Matters_level2_num18,Matters_level2_18,Matters_level3_18,Matters_level4_18,Matters_18_addinfo,Matters_level2_num19,Matters_level2_19,Matters_level3_19,Matters_level4_19,Matters_level2_num20,Matters_level2_20,Matters_level3_20,Matters_level4_20,Matters_level2_num21,Matters_level2_21,Matters_level3_21,Matters_level4_21,Matters_level2_num22,Matters_level2_22,Matters_level3_22,Matters_level4_22,Matters_22_addinfo,Matters_level2_num23,Matters_level2_23,Matters_level3_23,Matters_level4_23,Matters_23_addinfo,Matters_level2_num24,Matters_level2_24,Matters_level3_24,Matters_level4_24,Matters_24_addinfo,Matters_level2_num25,Matters_level2_25,Matters_level3_25,Matters_level4_25,Matters_level2_num26,Matters_level2_26,Matters_level3_26,Matters_level4_26
BER.01.001.0366,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1602-10-28T00:00:00Z,Verordnung,Signau,,,,,,,,,,,,"StAB, A I 481, S. 78",StAB,A I 481,S. 78,Der Thoufferen unnd deren halben so vor Empfachung des Herren Nachtmals sich in die Wirtshüser verfügen.,1.1,Religionsangelegenheiten,Kirchenzucht,",Entweihung Sakramente",,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",Täufer",,4.6,Handel und Dienstleistungen,Bewirtung/Gaststätten,",Alkoholausschank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.0392,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1604-08-07T00:00:00Z,Verordnung,Bolligen,Bremgarten bei Bern,Bümpliz,Köniz,Muri,,,,,,,,"StAB, A I 481, S. 118",StAB,A I 481,S. 118,Den Predikanten.,1.1,Religionsangelegenheiten,Geistlichkeit,",Amtsführung",,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,Eheschließung,",Bedingungen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.4933,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1615-11-15T00:00:00Z,Verordnung,Murten,,,,,,,,,,,,"StAB, A I 482, S. 356",StAB,A I 482,S. 356,Wegen Abstellung der überflüssigen Geväterten.,1.1,Religionsangelegenheiten,Geistlichkeit,",Amtsausübung; Taufe; Patenschaft",,1.1,Religionsangelegenheiten,Kirchenzucht,",Amtsausübung; Taufe; Patenschaft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.0753,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1624-06-30T00:00:00Z,Verordnung,Emmental,Bernese Oberland,Seftigen,Konolfingen,Limpach,Canton Aargau,,,,,,,"StAB, A I 483, S. 150 f.",StAB,A I 483,S. 150 f.,Wegen der Toüfferen.,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",Täufer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.0968,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1635-11-16T00:00:00Z,Verordnung,Aarwangen,Oberbipp,Aarburg,Trachselwald,Sumiswald,Wangen,,,,,,,"StAB, A I 484, fol. 81r",StAB,A I 484,fol. 81r,Wegen Anstellung unnd Administration dess Herrn Nachtmals uff den Palmtag.,1.1,Religionsangelegenheiten,Geistlichkeit,",Gottesdienstgang; Amtsausübung",,1.1,Religionsangelegenheiten,Sonntagsheiligung,",Gottesdienstgang; Amtsausübung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.4840,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1643-04-24T00:00:00Z,Verordnung,Seedorf,Krauchthal,Windisch,Interlaken,,,,,,,,,"StAB, A I 484, fol. 336v-337r",StAB,A I 484,fol. 336v-337r,Abstellung der Stöhren.,1.1,Religionsangelegenheiten,Kirchenorganisation,",Rechnungswesen; Kosten; Stör",,1.1,Religionsangelegenheiten,Klosterwesen/Orden,",Rechnungswesen; Kosten; Stör",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1301,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1644-06-07T00:00:00Z,Ordnung,Laupen,Aarberg,Seedorf,Münchenbuchsee,Fraubrunnen,Krauchthal,,,,,,,"StAB, A I 485, S. 22 f.",StAB,A I 485,S. 22 f.,"Abstellung 1. underschidenlicher Missbrüchen, 2. alten Ysenkauffs.",1.1,Religionsangelegenheiten,Sonntagsheiligung,",Vergnügungen; Zunftversammlung; Spielen; Nachhochzeit; Mahlzeiten",,4.5,Handwerk und Gewerbe,Handwerksmißstände,",Eisenverarbeitung",,4.5,Handwerk und Gewerbe,Zunftwesen,",Eisenverarbeitung",,4.6,Handel und Dienstleistungen,Handelsbedingungen,",Alteisen; Fremde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1308,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1644-10-26T00:00:00Z,Verordnung,Trachselwald,Signau,Lützelflüh,Lenzburg,,,,,,,,,"StAB, A I 485, S. 41 f.",StAB,A I 485,S. 41 f.,Ihnen die Execution dess jüngsten Teüffer-Mandats anbevelchen.,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",Täufer",,2.4,Policey der Verwaltung und Justiz,Amtsführung/Amtsmißbrauch,",Amtleute; Aufgaben; Pflichten; Aufsichtspflicht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1319,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1645-02-14T00:00:00Z,Verordnung,Orpund,Chéserex,,,,,,,,,,,"StAB, A I 485, S. 62",StAB,A I 485,S. 62,Wegen Haltung eines algemeinen Fast- und Bättags.,1.1,Religionsangelegenheiten,Feiertage/Religiöse Feste,",Buß- & Bettag; Fastenzeit; Gute Werke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1328,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1645-07-12T00:00:00Z,Verordnung,Aarberg,Nidau,Büren,Münchenbuchsee,Landshut,Seedorf,Erlach,,,,,,"StAB, A I 485, S. 79 f.",StAB,A I 485,S. 79 f.,Danksagung irer am Canal verrichteten Ehrtagwerch.,1.1,Religionsangelegenheiten,Geistlichkeit,",Predigt; Amtsausübung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
